NUMERO;DURATA;CLASSE;AULA;GIORNO;O.INIZIO
968;1h00;3AS;LAB. CAD2;giovedì;10h00
969;1h00;3BS;AULA 19;giovedì;10h00
970;1h00;3LS;AULA 23;giovedì;10h00
971;1h00;4AM;LAB. OMS;giovedì;10h00
972;1h00;4BS;AULA 17;giovedì;10h00
973;1h00;4BS;AULA 17;giovedì;10h55
974;1h00;4LS;AULA 22;giovedì;10h00
975;1h00;5IA;AULA 25;giovedì;10h00
976;1h00;5IA;AULA 25;giovedì;10h55
977;1h00;5AM;AULA 15;giovedì;10h00
978;1h00;5AS;AULA 18;giovedì;10h00
979;1h00;5BS;AULA 27;giovedì;10h00
980;1h00;5BS;AULA 27;giovedì;10h55
981;1h00;5CS;LAB. BIOLOGIA ;giovedì;10h00
982;1h00;5LS;AULA 26;giovedì;10h00
983;1h00;5BM;LAB. TECNOLOGIA;giovedì;10h00
984;1h00;5BM;LAB. TECNOLOGIA;giovedì;10h55
985;1h00;2C;LAB. CHIMICA ;giovedì;10h00
986;1h00;3AT, 3IB;AULA 01;giovedì;10h00
987;1h00;3AT, 3IB;AULA 01;giovedì;10h55
988;1h00;5AU;AULA 16;giovedì;10h00
989;1h00;2BS;LAB. FISICA;giovedì;10h00
990;1h00;4AT;LAB. ROBOTICA;giovedì;10h00
991;1h00;4AT;LAB. ROBOTICA;giovedì;10h55
992;1h00;4IC;AULA 14;giovedì;10h00
993;1h00;4CS;AULA 21;giovedì;10h00
994;1h00;5DS;LAB. CAD1;giovedì;10h00
995;1h00;4IA;LAB. ELETTRONICA2;giovedì;10h00
996;1h00;5IB;LAB. INF2;giovedì;10h00
997;1h00;4AU;LAB. AUTOMAZ-IMPIANTI;giovedì;10h00
998;1h00;3AM;LAB. SISTEMI-AUTOMAZ;giovedì;10h00
999;1h00;3AM;LAB. SISTEMI-AUTOMAZ;giovedì;10h55
1000;1h00;4BM;PAL COM1;giovedì;10h00
1001;1h00;4BM;PAL COM1;giovedì;10h55
1002;1h00;4IB;PAL.COM2;giovedì;10h00
1003;1h00;4IB;PAL.COM2;giovedì;10h55
1004;1h00;4AS;PALESTRA1;giovedì;10h00
1005;1h00;4AS;PALESTRA1;giovedì;10h55
1006;1h00;1A;PALESTRA2;giovedì;10h00
1007;1h00;1A;PALESTRA2;giovedì;10h55
1008;1h00;1B;AULA 03;giovedì;10h55
1009;1h00;1AS;AULA 31;giovedì;10h55
1010;1h00;1LS;AULA 30;giovedì;10h55
1011;1h00;2AS;AULA 24;giovedì;10h55
1012;1h00;2BS;BIBLIOTECA;giovedì;10h55
1013;1h00;2B;AULA 06;giovedì;10h55
1014;1h00;2C;AULA 07;giovedì;10h55
1015;1h00;2D;AULA 08;giovedì;10h55
1016;1h00;2E;AULA 09;giovedì;10h55
1017;1h00;2F;AULA 09A;giovedì;10h55
1018;1h00;2LS;LAB. MECCANICA;giovedì;10h55
1019;1h00;3IA;LAB. INF1;giovedì;10h55
1020;1h00;3BM;AULA 12;giovedì;10h55
1021;1h00;3BM;AULA 12;giovedì;11h55
1022;1h00;3AS;AULA 13;giovedì;10h55
1023;1h00;3BS;AULA 19;giovedì;10h55
1024;1h00;3LS;AULA 23;giovedì;10h55
1025;1h00;4AU;AULA 20;giovedì;10h55
1026;1h00;4AM;AULA DISEGNO 2;giovedì;10h55
1027;1h00;4LS;AULA 22;giovedì;10h55
1028;1h00;5AM;AULA 15;giovedì;10h55
1029;1h00;5AS;AULA 18;giovedì;10h55
1030;1h00;5CS;LAB. CAD1;giovedì;10h55
1031;1h00;5LS;AULA 26;giovedì;10h55
1032;1h00;1C;LAB. FISICA;giovedì;10h55
1033;1h00;1D;LAB. CHIMICA ;giovedì;10h55
1034;1h00;1E;LAB. CAD2;giovedì;10h55
1035;1h00;1E;LAB. CAD2;giovedì;11h55
1036;1h00;5AU;AULA 16;giovedì;10h55
1037;1h00;4IC;AULA 14;giovedì;10h55
1038;1h00;4CS;AULA 21;giovedì;10h55
1039;1h00;5DS;AULA 29;giovedì;10h55
1040;1h00;5IB;LAB. INF2;giovedì;10h55
1041;1h00;4IA;LAB. ELETTRONICA2;giovedì;10h55
1042;1h00;1D;AULA 10A;giovedì;11h55
1043;1h00;1B;AULA 03;giovedì;11h55
1044;1h00;1A;AULA 02;giovedì;11h55
1045;1h00;1C;AULA 04;giovedì;11h55
1046;1h00;1AS;AULA 31;giovedì;11h55
1047;1h00;1LS;AULA 30;giovedì;11h55
1048;1h00;2AS;AULA 24;giovedì;11h55
1049;1h00;2BS;BIBLIOTECA;giovedì;11h55
1050;1h00;2A;AULA 05;giovedì;11h55
1051;1h00;2B;AULA 06;giovedì;11h55
1052;1h00;2D;AULA 08;giovedì;11h55
1053;1h00;2E;AULA 09;giovedì;11h55
1054;1h00;2F;AULA 09A;giovedì;11h55
1055;1h00;3IA;LAB. CAD1;giovedì;11h55
1056;1h00;3AS;AULA 13;giovedì;11h55
1057;1h00;3BS;LAB. CHIMICA ;giovedì;11h55
1058;1h00;4IA;AULA 23;giovedì;11h55
1059;1h00;4AU;AULA 20;giovedì;11h55
1060;1h00;4AM;LAB. TECNOLOGIA;giovedì;11h55
1061;1h00;4BM;AULA 19;giovedì;11h55
1062;1h00;4AS;AULA 28;giovedì;11h55
1063;1h00;4BS;LAB. BIOLOGIA ;giovedì;11h55
1064;1h00;4BS;LAB. BIOLOGIA ;giovedì;13h00
1065;1h00;4CS;LAB. ELETTRONICA2;giovedì;11h55
1066;1h00;4LS;AULA 22;giovedì;11h55
1067;1h00;5IA;AULA 25;giovedì;11h55
1068;1h00;5BM;AULA 17;giovedì;11h55
1069;1h00;5AS;AULA 18;giovedì;11h55
1070;1h00;5BS;AULA 27;giovedì;11h55
1071;1h00;5CS;AULA DISEGNO 2;giovedì;11h55
1072;1h00;5LS;AULA 26;giovedì;11h55
1073;1h00;3AM;LAB. SISTEMI-AUTOMAZ;giovedì;11h55
1074;1h00;2C;LAB. FISICA;giovedì;11h55
1075;1h00;3AT, 3IB;AULA 01;giovedì;11h55
1076;1h00;5AU;AULA 16;giovedì;11h55
1077;1h00;5AM;AULA 15;giovedì;11h55
1078;1h00;4AT;LAB. ROBOTICA;giovedì;11h55
1079;1h00;5DS;AULA 29;giovedì;11h55
1080;1h00;4IC;LAB. INF2;giovedì;11h55
1081;1h00;4IB;LAB. ELETTR-MISURE;giovedì;11h55
1082;1h00;4IB;LAB. ELETTR-MISURE;giovedì;13h00
1083;1h00;5IB;LAB. INF1;giovedì;11h55
1084;1h00;5IB;LAB. INF1;giovedì;13h00
1085;1h00;3AU;LAB. AUTOMAZ-IMPIANTI;giovedì;11h55
1086;1h00;3AU;LAB. AUTOMAZ-IMPIANTI;giovedì;13h00
1087;1h00;2LS;PALESTRA1;giovedì;11h55
1088;1h00;3LS;PALESTRA2;giovedì;11h55
1089;1h00;1D;AULA 10A;giovedì;13h00
1090;1h00;1C;AULA 04;giovedì;13h00
1091;1h00;1E;AULA 11;giovedì;13h00
1092;1h00;1B;AULA 03;giovedì;13h00
1093;1h00;2AS;AULA 24;giovedì;13h00
1094;1h00;2A;AULA 05;giovedì;13h00
1095;1h00;2B;AULA 06;giovedì;13h00
1096;1h00;2C;AULA 07;giovedì;13h00
1097;1h00;2E;AULA 09;giovedì;13h00
1098;1h00;2F;AULA 09A;giovedì;13h00
1099;1h00;2LS;LAB. MECCANICA;giovedì;13h00
1100;1h00;3IA;LAB. CAD1;giovedì;13h00
1101;1h00;3AM;LAB. SISTEMI-AUTOMAZ;giovedì;13h00
1102;1h00;3AS;AULA 13;giovedì;13h00
1103;1h00;3BS;LAB. CHIMICA ;giovedì;13h00
1104;1h00;4IA;LAB. ELETTRONICA2;giovedì;13h00
1105;1h00;4AU;AULA 20;giovedì;13h00
1106;1h00;4AM;LAB. TECNOLOGIA;giovedì;13h00
1107;1h00;4BM;AULA 19;giovedì;13h00
1108;1h00;4AS;LAB. CAD2;giovedì;13h00
1109;1h00;4LS;AULA 22;giovedì;13h00
1110;1h00;5IA;AULA 25;giovedì;13h00
1111;1h00;5AM;AULA 15;giovedì;13h00
1112;1h00;5AM;AULA 15;giovedì;13h50
1113;1h00;5BM;AULA 17;giovedì;13h00
1114;1h00;5AS;LAB. FISICA;giovedì;13h00
1115;1h00;5BS;LAB. INF2;giovedì;13h00
1116;1h00;5CS;AULA DISEGNO 2;giovedì;13h00
1117;1h00;5LS;AULA 26;giovedì;13h00
1118;1h00;3AT, 3IB;AULA 01;giovedì;13h00
1119;1h00;5AU;AULA 16;giovedì;13h00
1120;1h00;3LS;AULA 23;giovedì;13h00
1121;1h00;4AT;AULA DISEGNO 1;giovedì;13h00
1122;1h00;4IC;AULA 14;giovedì;13h00
1123;1h00;5DS;AULA 29;giovedì;13h00
1124;1h00;1A;AULA 02;giovedì;13h00
1125;1h00;1A;AULA 02;giovedì;13h50
1126;1h00;3BM;AULA 12;giovedì;13h00
1127;1h00;4CS;PALESTRA1;giovedì;13h00
1128;1h00;4CS;PALESTRA1;giovedì;13h50
1129;1h00;;;giovedì;13h00
1130;1h00;;;giovedì;13h50
1131;1h00;;;giovedì;13h00
1132;1h00;;;giovedì;13h50
1133;1h00;2D;PALESTRA2;giovedì;13h00
1134;1h00;2D;PALESTRA2;giovedì;13h50
1135;1h00;1E;AULA 11;giovedì;13h50
1136;1h00;1B;AULA 03;giovedì;13h50
1137;1h00;2A;AULA 05;giovedì;13h50
1138;1h00;4IA;LAB. ELETTRONICA2;giovedì;13h50
1139;1h00;3BM;AULA 12;giovedì;13h50
1140;1h00;4AU;AULA 20;giovedì;13h50
1141;1h00;1C;AULA 04;venerdì;08h00
1142;1h00;1A;AULA 02;venerdì;08h00
1143;1h00;1D;AULA 10A;venerdì;08h00
1144;1h00;1E;AULA 11;venerdì;08h00
1145;1h00;1E;AULA 11;venerdì;08h55
1146;1h00;1B;AULA 03;venerdì;08h00
1147;1h00;1AS;AULA 30;venerdì;08h00
1148;1h00;1LS;AULA 31;venerdì;08h00
1149;1h00;2AS;AULA 28;venerdì;08h00
1150;1h00;2AS;AULA 28;venerdì;08h55
1151;1h00;2BS;LAB. MECCANICA;venerdì;08h00
1152;1h00;2A;AULA 05;venerdì;08h00
1153;1h00;2B;AULA 06;venerdì;08h00
1154;1h00;2C;AULA 07;venerdì;08h00
1155;1h00;2D;AULA 08;venerdì;08h00
1156;1h00;2E;AULA 09;venerdì;08h00
1157;1h00;2F;AULA 09A;venerdì;08h00
1158;1h00;2LS;BIBLIOTECA;venerdì;08h00
1159;1h00;3IA;AULA 01;venerdì;08h00
1160;1h00;3BM;AULA 21;venerdì;08h00
1161;1h00;3AS;LAB. CAD2;venerdì;08h00
1162;1h00;3BS;LAB. INF2;venerdì;08h00
1163;1h00;3LS;LAB. FISICA;venerdì;08h00
1164;1h00;4IA;AULA 18;venerdì;08h00
1165;1h00;4IA;AULA 18;venerdì;08h55
1166;1h00;4IB;AULA DISEGNO 1;venerdì;08h00
1167;1h00;4AS;LAB. BIOLOGIA ;venerdì;08h00
1168;1h00;4AS;LAB. BIOLOGIA ;venerdì;08h55
1169;1h00;4BS;AULA 17;venerdì;08h00
1170;1h00;4CS;AULA 24;venerdì;08h00
1171;1h00;5IA;AULA 25;venerdì;08h00
1172;1h00;5IA;AULA 25;venerdì;08h55
1173;1h00;5IB;LAB. CHIMICA ;venerdì;08h00
1174;1h00;5AM;AULA 15;venerdì;08h00
1175;1h00;5AS;AULA 12;venerdì;08h00
1176;1h00;5BS;AULA 27;venerdì;08h00
1177;1h00;5CS;AULA 20;venerdì;08h00
1178;1h00;5LS;AULA 26;venerdì;08h00
1179;1h00;4BM;LAB. CAD1;venerdì;08h00
1180;1h00;4BM;LAB. CAD1;venerdì;08h55
1181;1h00;3AT;LAB. ROBOTICA;venerdì;08h00
1182;1h00;3AT;LAB. ROBOTICA;venerdì;08h55
1183;1h00;5AU;AULA 16;venerdì;08h00
1184;1h00;4LS;AULA 22;venerdì;08h00
1185;1h00;4IC;AULA 14;venerdì;08h00
1186;1h00;5DS;AULA 29;venerdì;08h00
1187;1h00;3IB;AULA DISEGNO 2;venerdì;08h00
1188;1h00;3AU;LAB. ELETTR-MISURE;venerdì;08h00
1189;1h00;3AU;LAB. ELETTR-MISURE;venerdì;08h55
1190;1h00;4AT;LAB. AUTOMAZ-IMPIANTI;venerdì;08h00
1191;1h00;4AT;LAB. AUTOMAZ-IMPIANTI;venerdì;08h55
1192;1h00;3AM;LAB. TECNOLOGIA;venerdì;08h00
1193;1h00;3AM;LAB. TECNOLOGIA;venerdì;08h55
1194;1h00;4AM;LAB. SISTEMI-AUTOMAZ;venerdì;08h00
1195;1h00;4AU;PALESTRA1;venerdì;08h00
1196;1h00;4AU;PALESTRA1;venerdì;08h55
1197;1h00;5BM;PALESTRA2;venerdì;08h00
1198;1h00;5BM;PALESTRA2;venerdì;08h55
1199;1h00;1C;AULA 04;venerdì;08h55
1200;1h00;1B;AULA 03;venerdì;08h55
1201;1h00;1A;AULA 02;venerdì;08h55
1202;1h00;1AS;AULA 30;venerdì;08h55
1203;1h00;1LS;AULA 31;venerdì;08h55
1204;1h00;2BS;LAB. CAD2;venerdì;08h55
1205;1h00;2A;AULA 05;venerdì;08h55
1206;1h00;2B;AULA 06;venerdì;08h55
1207;1h00;2C;AULA 07;venerdì;08h55
1208;1h00;2D;AULA 08;venerdì;08h55
1209;1h00;2E;AULA 09;venerdì;08h55
1210;1h00;2F;AULA 09A;venerdì;08h55
1211;1h00;2LS;BIBLIOTECA;venerdì;08h55
1212;1h00;3BM;AULA 21;venerdì;08h55
1213;1h00;3AS;AULA 13;venerdì;08h55
1214;1h00;3BS;AULA 19;venerdì;08h55
1215;1h00;3LS;AULA 23;venerdì;08h55
1216;1h00;4AM;AULA 15;venerdì;08h55
1217;1h00;4BS;AULA 17;venerdì;08h55
1218;1h00;4CS;AULA 24;venerdì;08h55
1219;1h00;4LS;AULA 22;venerdì;08h55
1220;1h00;5IB;LAB. CHIMICA ;venerdì;08h55
1221;1h00;5AS;AULA 12;venerdì;08h55
1222;1h00;5BS;AULA 27;venerdì;08h55
1223;1h00;5CS;AULA 20;venerdì;08h55
1224;1h00;5LS;AULA 26;venerdì;08h55
1225;1h00;5AM;LAB. SISTEMI-AUTOMAZ;venerdì;08h55
1226;1h00;5AU;AULA 16;venerdì;08h55
1227;1h00;4IC;AULA 14;venerdì;08h55
1228;1h00;5DS;AULA 29;venerdì;08h55
1229;1h00;4IB;LAB. INF2;venerdì;08h55
1230;1h00;4IB;LAB. INF2;venerdì;10h00
1231;1h00;3IA;AULA 01;venerdì;08h55
1232;1h00;3IB;AULA DISEGNO 2;venerdì;08h55
1233;1h00;1D;AULA 10A;venerdì;08h55
1234;1h00;1B;AULA 03;venerdì;10h00
1235;1h00;1C;AULA 04;venerdì;10h00
1236;1h00;1A;AULA 02;venerdì;10h00
1237;1h00;1E;AULA 11;venerdì;10h00
1238;1h00;1AS;AULA 30;venerdì;10h00
1239;1h00;1LS;AULA 31;venerdì;10h00
1240;1h00;2AS;LAB. CAD2;venerdì;10h00
1241;1h00;2A;AULA 05;venerdì;10h00
1242;1h00;2B;AULA 06;venerdì;10h00
1243;1h00;2C;AULA 07;venerdì;10h00
1244;1h00;2D;AULA 08;venerdì;10h00
1245;1h00;2D;AULA 08;venerdì;10h55
1246;1h00;2E;AULA 09;venerdì;10h00
1247;1h00;2F;AULA 09A;venerdì;10h00
1248;1h00;2LS;BIBLIOTECA;venerdì;10h00
1249;1h00;3IA;AULA 01;venerdì;10h00
1250;1h00;3IA;AULA 01;venerdì;10h55
1251;1h00;3AS;AULA 13;venerdì;10h00
1252;1h00;3BS;LAB. CHIMICA ;venerdì;10h00
1253;1h00;3LS;AULA 23;venerdì;10h00
1254;1h00;4AM;AULA 16;venerdì;10h00
1255;1h00;4AS;AULA 19;venerdì;10h00
1256;1h00;4BS;AULA 17;venerdì;10h00
1257;1h00;4CS;AULA 24;venerdì;10h00
1258;1h00;4LS;AULA 22;venerdì;10h00
1259;1h00;5IA;AULA 25;venerdì;10h00
1260;1h00;5IB;LAB. INF1;venerdì;10h00
1261;1h00;5AM;AULA 15;venerdì;10h00
1262;1h00;5AM;AULA 15;venerdì;10h55
1263;1h00;5BM;AULA 18;venerdì;10h00
1264;1h00;5AS;AULA 12;venerdì;10h00
1265;1h00;5BS;AULA 27;venerdì;10h00
1266;1h00;5CS;AULA 20;venerdì;10h00
1267;1h00;5LS;AULA 26;venerdì;10h00
1268;1h00;3BM;LAB. CAD1;venerdì;10h00
1269;1h00;3BM;LAB. CAD1;venerdì;10h55
1270;1h00;3AU;AULA 21;venerdì;10h00
1271;1h00;1D;LAB. FISICA;venerdì;10h00
1272;1h00;3AT, 3IB;AULA 10A;venerdì;10h00
1273;1h00;2BS;LAB. MECCANICA;venerdì;10h00
1274;1h00;4AT;LAB. ROBOTICA;venerdì;10h00
1275;1h00;5DS;AULA 29;venerdì;10h00
1276;1h00;3AM;LAB. TECNOLOGIA;venerdì;10h00
1277;1h00;3AM;LAB. TECNOLOGIA;venerdì;10h55
1278;1h00;4IC;LAB. ELETTR-MISURE;venerdì;10h00
1279;1h00;4IC;LAB. ELETTR-MISURE;venerdì;10h55
1280;1h00;4AU;LAB. AUTOMAZ-IMPIANTI;venerdì;10h00
1281;1h00;4AU;LAB. AUTOMAZ-IMPIANTI;venerdì;10h55
1282;1h00;4BM;LAB. SISTEMI-AUTOMAZ;venerdì;10h00
1283;1h00;4BM;LAB. SISTEMI-AUTOMAZ;venerdì;10h55
1284;1h00;4IA;PALESTRA1;venerdì;10h00
1285;1h00;4IA;PALESTRA1;venerdì;10h55
1286;1h00;5AU;PALESTRA2;venerdì;10h00
1287;1h00;5AU;PALESTRA2;venerdì;10h55
1288;1h00;1C;AULA 04;venerdì;10h55
1289;1h00;1C;AULA 04;venerdì;11h55
1290;1h00;1B;AULA 03;venerdì;10h55
1291;1h00;1AS;AULA 30;venerdì;10h55
1292;1h00;1LS;AULA 31;venerdì;10h55
1293;1h00;2AS;AULA 28;venerdì;10h55
1294;1h00;2A;AULA 05;venerdì;10h55
1295;1h00;2B;AULA 06;venerdì;10h55
1296;1h00;2C;AULA 07;venerdì;10h55
1297;1h00;2E;AULA 09;venerdì;10h55
1298;1h00;2F;AULA 09A;venerdì;10h55
1299;1h00;2LS;BIBLIOTECA;venerdì;10h55
1300;1h00;3AU;AULA 21;venerdì;10h55
1301;1h00;3AS;AULA 13;venerdì;10h55
1302;1h00;3BS;LAB. CHIMICA ;venerdì;10h55
1303;1h00;3LS;AULA 23;venerdì;10h55
1304;1h00;4IB;AULA DISEGNO 1;venerdì;10h55
1305;1h00;4AM;AULA 16;venerdì;10h55
1306;1h00;4AM;AULA 16;venerdì;11h55
1307;1h00;4BS;AULA 17;venerdì;10h55
1308;1h00;4CS;AULA 24;venerdì;10h55
1309;1h00;4LS;AULA 22;venerdì;10h55
1310;1h00;5IA;AULA 25;venerdì;10h55
1311;1h00;5BM;AULA 18;venerdì;10h55
1312;1h00;5BS;AULA 27;venerdì;10h55
1313;1h00;5CS;LAB. CAD2;venerdì;10h55
1314;1h00;5LS;AULA 26;venerdì;10h55
1315;1h00;1D;LAB. ELETTRONICA2;venerdì;10h55
1316;1h00;1E;LAB. FISICA;venerdì;10h55
1317;1h00;3AT, 3IB;AULA 10A;venerdì;10h55
1318;1h00;2BS;LAB. MECCANICA;venerdì;10h55
1319;1h00;5DS;AULA 29;venerdì;10h55
1320;1h00;1A;AULA 02;venerdì;10h55
1321;1h00;5IB;LAB. INF2;venerdì;10h55
1322;1h00;5AS;AULA 12;venerdì;10h55
1323;1h00;4AT;LAB. ROBOTICA;venerdì;10h55
1324;1h00;4AS;AULA 19;venerdì;10h55
1325;1h00;1A;AULA 02;venerdì;11h55
1326;1h00;1AS;LAB. BIOLOGIA ;venerdì;11h55
1327;1h00;1LS;AULA 31;venerdì;11h55
1328;1h00;2AS;AULA 28;venerdì;11h55
1329;1h00;2A;AULA 05;venerdì;11h55
1330;1h00;2B;AULA 06;venerdì;11h55
1331;1h00;2D;AULA 08;venerdì;11h55
1332;1h00;2E;AULA 09;venerdì;11h55
1333;1h00;2LS;BIBLIOTECA;venerdì;11h55
1334;1h00;2LS;BIBLIOTECA;venerdì;13h00
1335;1h00;3AU;AULA 21;venerdì;11h55
1336;1h00;3BM;LAB. SISTEMI-AUTOMAZ;venerdì;11h55
1337;1h00;3AS;AULA 13;venerdì;11h55
1338;1h00;3BS;AULA 30;venerdì;11h55
1339;1h00;3LS;AULA 23;venerdì;11h55
1340;1h00;4IA;AULA 22;venerdì;11h55
1341;1h00;4IB;AULA DISEGNO 1;venerdì;11h55
1342;1h00;4AU;AULA DISEGNO 2;venerdì;11h55
1343;1h00;4AU;AULA DISEGNO 2;venerdì;13h00
1344;1h00;4AS;AULA 19;venerdì;11h55
1345;1h00;4BS;AULA 17;venerdì;11h55
1346;1h00;4CS;AULA 24;venerdì;11h55
1347;1h00;5IB;AULA 01;venerdì;11h55
1348;1h00;5IB;AULA 01;venerdì;13h00
1349;1h00;5AM;AULA 15;venerdì;11h55
1350;1h00;5BM;AULA 18;venerdì;11h55
1351;1h00;5AS;AULA 12;venerdì;11h55
1352;1h00;5BS;LAB. CAD1;venerdì;11h55
1353;1h00;5CS;AULA 20;venerdì;11h55
1354;1h00;5LS;AULA 26;venerdì;11h55
1355;1h00;3AM;LAB. TECNOLOGIA;venerdì;11h55
1356;1h00;1B;LAB. INF1;venerdì;11h55
1357;1h00;1E;LAB. CHIMICA ;venerdì;11h55
1358;1h00;2F;LAB. FISICA;venerdì;11h55
1359;1h00;3IA;AULA 03;venerdì;11h55
1360;1h00;2C;LAB. CAD2;venerdì;11h55
1361;1h00;3AT;AULA 27;venerdì;11h55
1362;1h00;2BS;LAB. MECCANICA;venerdì;11h55
1363;1h00;4AT;LAB. ROBOTICA;venerdì;11h55
1364;1h00;4IC;AULA 14;venerdì;11h55
1365;1h00;5DS;AULA 29;venerdì;11h55
1366;1h00;3IB;AULA 11;venerdì;11h55
1367;1h00;5IA;LAB. INF2;venerdì;11h55
1368;1h00;5AU;LAB. AUTOMAZ-IMPIANTI;venerdì;11h55
1369;1h00;5AU;LAB. AUTOMAZ-IMPIANTI;venerdì;13h00
1370;1h00;4BM;LAB. OMS;venerdì;11h55
1371;1h00;4BM;LAB. OMS;venerdì;13h00
1372;1h00;4LS;PALESTRA2;venerdì;11h55
1373;1h00;;;venerdì;11h55
1374;1h00;;;venerdì;11h55
1375;1h00;1D;AULA 10A;venerdì;13h00
1376;1h00;1B;AULA 03;venerdì;13h00
1377;1h00;1B;AULA 03;venerdì;13h50
1378;1h00;1E;AULA 11;venerdì;13h00
1379;1h00;2A;AULA 05;venerdì;13h00
1380;1h00;2C;AULA 07;venerdì;13h00
1381;1h00;2D;AULA 08;venerdì;13h00
1382;1h00;2E;AULA 09;venerdì;13h00
1383;1h00;2F;AULA 09A;venerdì;13h00
1384;1h00;3IA;AULA 02;venerdì;13h00
1385;1h00;3AU;AULA 21;venerdì;13h00
1386;1h00;3AU;AULA 21;venerdì;13h50
1387;1h00;3AM;LAB. TECNOLOGIA;venerdì;13h00
1388;1h00;3BM;LAB. SISTEMI-AUTOMAZ;venerdì;13h00
1389;1h00;3AS;AULA 13;venerdì;13h00
1390;1h00;3BS;AULA 30;venerdì;13h00
1391;1h00;3LS;AULA 23;venerdì;13h00
1392;1h00;4IB;AULA DISEGNO 1;venerdì;13h00
1393;1h00;4AS;AULA 19;venerdì;13h00
1394;1h00;4BS;AULA 17;venerdì;13h00
1395;1h00;5IA;AULA 25;venerdì;13h00
1396;1h00;5AS;AULA 12;venerdì;13h00
1397;1h00;5BS;AULA 31;venerdì;13h00
1398;1h00;5CS;AULA 20;venerdì;13h00
1399;1h00;5LS;AULA 26;venerdì;13h00
1400;1h00;1C;LAB. CAD1;venerdì;13h00
1401;1h00;1C;LAB. CAD1;venerdì;13h50
1402;1h00;2B;LAB. FISICA;venerdì;13h00
1403;1h00;3AT, 3IB;AULA 27;venerdì;13h00
1404;1h00;5AM;AULA 15;venerdì;13h00
1405;1h00;5BM;AULA 18;venerdì;13h00
1406;1h00;4AT;LAB. ROBOTICA;venerdì;13h00
1407;1h00;4IC;AULA 14;venerdì;13h00
1408;1h00;4CS;AULA 24;venerdì;13h00
1409;1h00;5DS;AULA 29;venerdì;13h00
1410;1h00;4IA;LAB. INF2;venerdì;13h00
1411;1h00;1A;LAB. CAD2;venerdì;13h00
1412;1h00;2BS;PALESTRA1;venerdì;13h00
1413;1h00;2BS;PALESTRA1;venerdì;13h50
1414;1h00;4AM;PALESTRA2;venerdì;13h00
1415;1h00;4AM;PALESTRA2;venerdì;13h50
1416;1h00;1D;AULA 10A;venerdì;13h50
1417;1h00;2B;AULA 06;venerdì;13h50
1418;1h00;2D;AULA 08;venerdì;13h50
1419;1h00;3AM;LAB. TECNOLOGIA;venerdì;13h50
1420;1h00;4IA;LAB. INF2;venerdì;13h50
1421;1h00;4IB;AULA DISEGNO 1;venerdì;13h50
1422;1h00;5IB;AULA 01;venerdì;13h50
1423;1h00;1A;LAB. INF1;venerdì;13h50
1424;1h00;2A;LAB. CHIMICA ;venerdì;13h50
1425;1h00;4AT;LAB. ROBOTICA;venerdì;13h50
1426;1h00;;;;
1427;1h00;;;;
1428;1h00;;;;
1429;1h00;;;;
1430;1h00;;;;
1431;1h00;;;;
1432;1h00;;;;
1433;1h00;;;;
1434;1h00;;;;
1435;1h00;;;;
1436;1h00;;;;
1437;1h00;;;;
1438;1h00;;;;
1439;1h00;;;;
1440;1h00;;;;
1441;1h00;;;;
1442;1h00;;;;
1443;1h00;;;;
1444;1h00;;;;
1445;1h00;;;;
1446;1h00;;;;
1447;1h00;;;;
1448;1h00;;;;
1449;1h00;;;;
1450;1h00;;;;
1451;1h00;;;;
1452;1h00;;;;
1453;1h00;;;;
1454;1h00;;;;
1455;1h00;;;;
1456;1h00;;;;
1457;1h00;;;;
1458;1h00;;;;
1459;1h00;;;;
1460;1h00;;;;
1461;1h00;;;;
1462;1h00;;;;
1463;1h00;;;;
1464;1h00;;;;
1465;1h00;;;;
1466;1h00;;;;
1467;1h00;;;;
1468;1h00;;;;
1469;1h00;;;;
1470;1h00;;;;
1471;1h00;;;;
